DATAFLOW,LAST UPDATE,freq,entity,indic_bp,fdi_item,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Albania,2022,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Albania,2023,4.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2013,0.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2014,-0.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2015,-0.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2016,-8.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2017,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2018,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2019,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2020,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2021,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2022,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2023,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2013,5.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2014,-1.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2015,6.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2016,10.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2017,2.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2018,7.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2019,3.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2020,2.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2021,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2022,0.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2023,3.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2013,1.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2014,0.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2015,2.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2016,1.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2017,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2018,1.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2019,1.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2020,2.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2021,1.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2022,2.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2023,2.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,2019,-10.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,2020,-12.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,2021,-17.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,2022,-8.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,2023,0.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2013,110.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2014,232.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2015,139.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2016,11.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2017,101.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2018,258.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2019,454.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2020,-369.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2021,4.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2022,13.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,2023,-36.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2013,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2014,1.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2015,0.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2016,3.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2017,3.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2018,3.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2019,2.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2020,2.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2021,2.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2022,2.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,2023,2.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2013,0.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2014,1.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2015,1.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2016,1.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2017,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2018,2.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2019,2.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2020,1.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2021,2.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2022,2.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,2023,1.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2013,1.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2014,0.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2015,1.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2016,3.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2017,1.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2018,1.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2019,-2.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2020,1.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2021,4.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2022,2.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,2023,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2013,2.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2014,1.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2015,0.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2016,3.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2017,5.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2018,2.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2019,8.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2020,6.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2021,-0.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2022,2.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2023,7.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2013,0.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2014,1.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2015,0.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2016,0.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2017,0.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2018,1.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2019,1.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2020,1.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2021,1.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2022,2.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,2023,2.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2013,1.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2014,2.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2015,2.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2016,3.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2017,3.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2018,3.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2019,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2020,1.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2021,1.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2022,3.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,2023,2.6,,
